1-cysPrx_C	159,78,55	#9f4e37
AVR-Pik_HID	220,104,72	#dc6848
AWPM-19	197,89,58	#c5593a
AWS	136,239,198	#88efc6
AXE1	137,216,195	#89d8c3
AXH	70,91,158	#465b9e
AXIN1_TNKS_BD	224,107,75	#e06b4b
AZUL	199,99,72	#c76348
A_amylase_dom_C	204,131,148	#cc8394
A_amylase_inhib	213,102,72	#d56648
A_deamin	96,141,42	#608d2a
A_deaminase	152,125,94	#987d5e
A_deaminase_N	139,88,74	#8b584a
A_thal_3526	203,129,109	#cb816d
Aa-Ago_N	202,126,105	#ca7e69
Aa_trans	74,84,208	#4a54d0
AadA_C	222,110,79	#de6e4f
AalphaY_MDB	208,101,71	#d06547
AbLIM_anchor	202,131,112	#ca8370
AbbA_antirepres	159,98,81	#9f6251
Abc1-like	185,129,89	#b98159
Abdominal-A	222,115,85	#de7355
AbfB	90,87,171	#5a57ab
AbfS_sensor	134,167,58	#86a73a
Abhydro_lipase	108,218,189	#6cdabd
Abhydrolase_1	86,180,151	#56b497
Abhydrolase_10	92,216,183	#5cd8b7
Abhydrolase_11	103,170,152	#67aa98
Abhydrolase_2	99,228,193	#63e4c1
Abhydrolase_3	183,51,179	#b733b3
Abhydrolase_4	145,225,204	#91e1cc
Abhydrolase_5	63,144,122	#3f907a
Abhydrolase_6	113,71,219	#7147db
Abhydrolase_7	95,159,141	#5f9f8d
Abhydrolase_8	112,229,198	#70e5c6
Abhydrolase_9	135,210,190	#87d2be
Abhydrolase_9_N	205,102,73	#cd6649
Abi	150,86,216	#9656d8
AbiEi_1	165,99,181	#a563b5
AbiEi_2	205,82,234	#cd52ea
AbiEi_3	195,79,223	#c34fdf
AbiEi_3_N	157,164,57	#9da439
AbiEi_4	138,142,70	#8a8e46
AbiEii	235,147,234	#eb93ea
AbiGi	225,101,67	#e16543
AbiGii_2	222,106,73	#de6a49
AbiH	159,78,56	#9f4e38
AbiJ_NTD3	165,99,81	#a56351
AbiJ_NTD4	138,83,68	#8a5344
AbiJ_NTD5	142,89,74	#8e594a
AbiTii	218,103,71	#da6747
Abi_2	210,107,79	#d26b4f
Abi_C	159,99,83	#9f6353
Abi_HHR	158,95,78	#9e5f4e
Abi_alpha	191,199,54	#bfc736
Abp2	153,74,53	#994a35
AbpA-like	209,94,63	#d15e3f
AbrB	140,151,222	#8c97de
AbrB-like	177,79,136	#b14f88
AbrB_C	154,71,48	#9a4730
Ac110_PIF	152,78,57	#984e39
Ac45-VOA1_TM	222,143,122	#de8f7a
Ac76	216,135,112	#d88770
Ac81	216,138,117	#d88a75
AcMNPV_AC11	217,110,80	#d96e50
AcMNPV_Ac109	164,85,63	#a4553f
AcMNPV_Ac75	161,74,50	#a14a32
AcMNPV_Orf101	215,140,119	#d78c77
AcMNPV_Orf17	161,103,87	#a16757
AcMNPV_Orf18	201,102,75	#c9664b
AcMNPV_P18	207,104,76	#cf684c
AcaB	162,83,61	#a2533d
Acanthaporin	224,141,118	#e08d76
Acatn	57,135,60	#39873c
Acb1	86,147,153	#569399
Acc5b_avian_CoV	217,132,108	#d9846c
AceES-2	81,126,128	#517e80
AceK	199,93,220	#c75ddc
AceK_kinase	58,172,54	#3aac36
AceK_regulatory	166,110,94	#a66e5e
AcetDehyd-dimer	196,94,164	#c45ea4
Acetate_kinase	65,106,146	#416a92
Acetone_carb_G	219,99,66	#db6342
AcetylCoA_hyd_C	110,64,72	#6e4048
AcetylCoA_hydro	114,70,78	#72464e
Acetyltransf_1	121,183,50	#79b732
Acetyltransf_10	87,205,99	#57cd63
Acetyltransf_11	217,107,77	#d96b4d
Acetyltransf_13	52,196,67	#34c443
Acetyltransf_14	217,100,68	#d96444
Acetyltransf_15	54,215,71	#36d747
Acetyltransf_16	48,202,64	#30ca40
Acetyltransf_17	37,198,54	#25c636
Acetyltransf_18	41,147,52	#299334
Acetyltransf_19	31,137,42	#1f892a
Acetyltransf_2	68,135,63	#44873f
Acetyltransf_3	32,155,45	#209b2d
Acetyltransf_4	47,217,64	#2fd940
Acetyltransf_5	226,151,71	#e29747
Acetyltransf_6	110,194,95	#6ec25f
Acetyltransf_7	183,210,60	#b7d23c
Acetyltransf_8	106,224,203	#6ae0cb
Acetyltransf_9	79,191,91	#4fbf5b
Acetyltransf_CG	46,199,62	#2ec73e
Acid_PPase	181,109,61	#b56d3d
Acid_phosphat_B	138,90,58	#8a5a3a
AcnX	145,93,79	#915d4f
AcnX_swivel_put	175,165,103	#afa567
Aconitase	225,101,66	#e16542
Aconitase_2_N	182,171,103	#b6ab67
Aconitase_B_N	108,155,86	#6c9b56
Aconitase_C	132,121,55	#847937
Acp26Ab	223,105,73	#df6949
Acr30-35_AcrF1	223,103,70	#df6746
AcrF3	138,82,67	#8a5243
AcrIC5	138,63,42	#8a3f2a
AcrIIA4	136,68,49	#884431
AcrZ	149,94,79	#955e4f
Act-Frag_cataly	35,130,32	#238220
ActA	153,95,80	#995f50
ActD	138,88,74	#8a584a
Actin	134,177,219	#86b1db
Actin_micro	89,121,153	#597999
Actino_peptide	196,99,72	#c46348
Activator-TraM	201,99,71	#c96347
Activator_LAG-3	105,75,125	#694b7d
Activin_recp	130,106,48	#826a30
Acyl-ACP_TE	157,108,189	#9d6cbd
Acyl-ACP_TE_C	152,90,193	#985ac1
Acyl-CoA-dh_C	247,142,58	#f78e3a
Acyl-CoA_dh_1	85,191,117	#55bf75
Acyl-CoA_dh_2	106,185,56	#6ab938
Acyl-CoA_dh_C	155,94,77	#9b5e4d
Acyl-CoA_dh_M	225,186,97	#e1ba61
Acyl-CoA_dh_N	105,135,218	#6987da
Acyl-CoA_ox_N	79,164,137	#4fa489
Acyl-thio_N	208,130,108	#d0826c
AcylCoA_DH_N	153,97,82	#996152
AcylCoA_dehyd_C	232,134,55	#e88637
Acyl_CoA_thio	111,63,142	#6f3f8e
Acyl_transf_1	59,176,209	#3bb0d1
Acyl_transf_2	138,226,202	#8ae2ca
Acyl_transf_3	149,55,181	#9537b5
Acylphosphatase	65,108,203	#416ccb
Acyltransf_2	170,139,246	#aa8bf6
Acyltransf_C	209,95,63	#d15f3f
Acyltransferase	87,176,216	#57b0d8
AdHead_fibreRBD	126,139,55	#7e8b37
Ad_Cy_reg	219,145,125	#db917d
Ad_cyc_g-alpha	198,125,105	#c67d69
Ada3	221,141,119	#dd8d77
Ada_Zn_binding	213,96,63	#d5603f
Adap_comp_sub	171,112,99	#ab7063
Adaptin_N	100,167,68	#64a744
Adaptin_binding	158,97,80	#9e6150
Adcy_cons_dom	121,125,219	#797ddb
AdeT1_2	76,166,60	#4ca63c
Adenine_deam_C	147,72,51	#934833
Adenine_glyco	151,76,56	#974c38
Adeno_100	146,70,49	#924631
Adeno_52K	144,86,69	#905645
Adeno_E1A	216,143,123	#d88f7b
Adeno_E1B_19K	226,142,119	#e28e77
Adeno_E1B_55K	35,48,131	#233083
Adeno_E1B_55K_N	154,71,49	#9a4731
Adeno_E3	166,79,56	#a64f38
Adeno_E3A	139,88,74	#8b584a
Adeno_E3B	223,147,126	#df937e
Adeno_E3_14_5	136,68,49	#884431
Adeno_E3_15_3	213,131,109	#d5836d
Adeno_E3_CR1	94,66,121	#5e4279
Adeno_E3_CR2	152,75,54	#984b36
Adeno_E4	142,68,47	#8e442f
Adeno_E4_34	211,125,101	#d37d65
Adeno_E4_ORF3	165,77,52	#a54d34
Adeno_GP19K	73,38,107	#49266b
Adeno_IVa2	53,179,213	#35b3d5
Adeno_L433K_22K	196,122,101	#c47a65
Adeno_PIX	158,79,57	#9e4f39
Adeno_PV	138,88,75	#8a584b
Adeno_PVIII	208,135,114	#d08772
Adeno_PX	209,98,67	#d16243
Adeno_Penton_B	219,138,116	#db8a74
Adeno_VII	202,120,98	#ca7862
Adeno_hexon	92,180,179	#5cb4b3
Adeno_hexon_C	180,198,96	#b4c660
Adeno_knob	174,187,108	#aebb6c
Adeno_shaft	126,175,96	#7eaf60
Adeno_terminal	165,84,61	#a5543d
Adenosine_kin	217,129,105	#d98169
Adenyl_cycl_N	163,99,162	#a363a2
Adenyl_transf	167,102,166	#a766a6
AdenylateSensor	93,219,118	#5ddb76
Adenylate_cycl	161,100,82	#a16452
Adenylsucc_synt	106,204,231	#6acce7
Adhes-Ig_like	87,61,111	#573d6f
Adhesin_Dr	65,135,79	#41874f
Adhesin_E	213,104,74	#d5684a
Adhesin_P1	217,76,123	#d94c7b
Adhesin_P1_C	157,95,78	#9d5f4e
Adhesin_P1_N	212,108,79	#d46c4f
Adipogenin	224,145,123	#e0917b
Adipokin_hormo	149,98,83	#956253
AdoHcyase	168,69,88	#a84558
AdoHcyase_NAD	122,75,84	#7a4b54
AdoMetDC_leader	139,65,45	#8b412d
AdoMet_MTase	165,104,116	#a56874
AdoMet_Synthase	224,112,81	#e07051
AdoMet_dc	95,144,50	#5f9032
Aegerolysin	76,162,72	#4ca248
Aerolysin	71,33,128	#472180
AfAlkA-like_TBP-like	137,209,71	#89d147
AfaD	38,151,61	#26973d
Afaf	163,108,93	#a36c5d
Afi1	125,131,213	#7d83d5
AflR	152,97,82	#986152
AfsA	178,81,93	#b2515d
Aft1_HRA	208,100,70	#d06446
Aft1_HRR	146,72,51	#924833
Aft1_OSA	213,98,66	#d56242
AftA_C	143,86,70	#8f5646
AftA_N	24,63,129	#183f81
Ag332	225,144,121	#e19079
AgI_II_C2	59,206,88	#3bce58
Agarase_CBM	94,132,160	#5e84a0
Agenet	68,221,68	#44dd44
Agglutinin	118,114,233	#7672e9
Agglutinin_C	61,57,153	#3d3999
AglB_L1	165,80,56	#a55038
AglB_core-like	140,95,80	#8c5f50
Ago_MID_bact	160,95,77	#a05f4d
Ago_Mid	40,159,89	#289f59
Ago_N_1	137,88,74	#89584a
Ago_N_2	225,105,71	#e16947
Ago_N_3	209,104,74	#d1684a
Ago_PAZ	53,85,181	#3555b5
Ago_PAZ_arc	88,178,88	#58b258
Ago_hook	137,84,69	#895445
Agouti	57,91,120	#395b78
AgrB	181,182,61	#b5b63d
AgrD	153,93,77	#995d4d
Agro_virD5	146,68,47	#92442f
Aha1_N	164,78,113	#a44e71
AhpC-TSA	192,67,43	#c0432b
AhpC-TSA_2	193,105,88	#c16958
AhtL-like_1st	208,98,68	#d06244
AidB_N	60,148,120	#3c9478
Aida_C2	107,144,56	#6b9038
Aida_N	153,75,53	#994b35
Ail_Lom	50,104,120	#326878
Aim19	209,130,109	#d1826d
Aim21	203,102,74	#cb664a
AimR	92,161,59	#5ca13b
Aip3p_Bud6_N	221,140,118	#dd8c76
AlaDh_PNT_C	180,105,119	#b46977
AlaDh_PNT_N	111,67,75	#6f434b
AlaE	204,125,103	#cc7d67
Ala_racemase_C	123,160,69	#7ba045
Ala_racemase_N	171,136,95	#ab885f
Alanine_zipper	167,172,95	#a7ac5f
Alb1	199,94,65	#c75e41
AlbA_2	153,207,55	#99cf37
Alba	93,168,144	#5da890
Albumin_I	67,101,128	#436580
Albumin_I_a	52,116,170	#3474aa
AlcCBM31	103,77,129	#674d81
Ald_Xan_dh_C	222,113,82	#de7152
Ald_Xan_dh_C2	194,143,89	#c28f59
Ald_deCOase	148,181,96	#94b560
Aldedh	105,213,139	#69d58b
Aldo_ket_red	226,185,138	#e2b98a
Aldolase	147,107,61	#936b3d
Aldolase_II	221,137,114	#dd8972
Aldose_epim	47,119,105	#2f7769
Alfin	210,127,104	#d27f68
Alg14	81,43,117	#512b75
Alg17C_C	136,89,75	#88594b
Alg6_Alg8	62,94,147	#3e5e93
AlgF	126,89,157	#7e599d
Alginate_exp	39,145,178	#2791b2
Alginate_lyase	200,202,91	#c8ca5b
Alginate_lyase2	157,200,90	#9dc85a
AlkA_N	83,134,36	#538624
AlkZ-like	153,157,84	#999d54
AlkZ-rel	155,160,86	#9ba056
Alk_phosphatase	172,203,66	#accb42
Alkyl_sulf_C	179,59,180	#b33bb4
Alkyl_sulf_dimr	158,214,130	#9ed682
Allantoicase	76,101,119	#4c6577
Allatostatin	149,45,84	#952d54
Allene_ox_cyc	53,168,51	#35a833
Allexi_40kDa	210,129,107	#d2816b
Alliinase_C	188,125,203	#bc7dcb
Alp7A_like_C	87,119,151	#577797
Alph_Pro_TM	160,104,89	#a06859
Alpha-2-MRAP_C	145,73,53	#914935
Alpha-2-MRAP_N	155,95,79	#9b5f4f
Alpha-E	140,66,46	#8c422e
Alpha-L-AF_C	215,134,153	#d78699
Alpha-amy_C_pro	136,81,94	#88515e
Alpha-amyl_C	157,63,85	#9d3f55
Alpha-amyl_C2	155,68,88	#9b4458
Alpha-amylase	72,189,149	#48bd95
Alpha-amylase_C	143,62,81	#8f3e51
Alpha-amylase_C_2	197,118,136	#c57688
Alpha-amylase_N	122,89,154	#7a599a
Alpha-mann_mid	168,129,223	#a881df
AlphaC_C	196,89,105	#c45969
AlphaC_N	203,128,107	#cb806b
AlphaC_N2	166,110,95	#a66e5f
Alpha_E1_glycop	136,191,53	#88bf35
Alpha_E2_glycop	86,63,109	#563f6d
Alpha_E3_glycop	204,135,116	#cc8774
Alpha_GJ	150,69,46	#96452e
Alpha_Helical	198,94,65	#c65e41
Alpha_L_fucos	203,149,85	#cb9555
Alpha_TIF	200,131,112	#c88370
Alpha_adaptinC2	85,48,122	#55307a
Alpha_adaptin_C	59,168,181	#3ba8b5
Alpha_kinase	71,139,69	#478b45
AltA1	222,101,68	#de6544
Alveol-reg_P311	156,102,86	#9c6656
Amanitin	222,114,84	#de7254
Amastin	114,76,46	#724c2e
Amb_V_allergen	108,218,97	#6cda61
Amdase	208,111,182	#d06fb6
Amdo_NSP	157,45,178	#9d2db2
Amdo_NSP_1-3	209,134,113	#d18671
Amelin	206,96,66	#ce6042
Amelogenin	140,91,78	#8c5b4e
Amelotin	139,64,44	#8b402c
AmiA-like	86,177,79	#56b14f
AmiR_N	144,154,74	#909a4a
AmiS_UreI	222,137,113	#de8971
Amidase	166,99,81	#a66351
Amidase02_C	205,63,95	#cd3f5f
Amidase_2	146,70,49	#924631
Amidase_3	218,193,98	#dac162
Amidase_5	35,138,28	#238a1c
Amidase_6	30,129,23	#1e8117
Amidinotransf	194,129,75	#c2814b
Amido_AtzD_TrzD	101,144,169	#6590a9
Amidohydro_1	224,183,134	#e0b786
Amidohydro_2	144,107,65	#906b41
Amidohydro_3	172,137,97	#ac8961
Amidoligase_2	122,90,182	#7a5ab6
Amino_oxidase	172,110,122	#ac6e7a
Aminoglyc_resit	151,68,149	#974495
Aminopep	55,128,120	#378078
Aminotran_1_2	89,113,198	#5971c6
Aminotran_3	49,163,189	#31a3bd
Aminotran_4	148,75,55	#944b37
Aminotran_5	214,54,122	#d6367a
Aminotran_MocR	90,91,192	#5a5bc0
Amj	208,108,81	#d06c51
Ammonium_transp	224,117,87	#e07557
Amnionless	143,72,53	#8f4835
AmoC	214,108,79	#d66c4f
AmpE	92,165,175	#5ca5af
Amphi-Trp	221,147,126	#dd937e
Ams1-like_1st	70,94,113	#465e71
AmyA-A_glucT_m	113,86,153	#715699
AmyA-gluTrfs_C	96,169,155	#60a99b
AmyB_C	139,59,78	#8b3b4e
Amylosucrase_C-like	136,87,99	#885763
An_peroxidase	81,96,183	#5160b7
Anamorsin_N	170,71,90	#aa475a
Androgen_recep	161,80,58	#a1503a
Androglobin_II	57,94,121	#395e79
Androglobin_IV	60,100,130	#3c6482
Androglobin_V	100,137,164	#6489a4
Anemone_cytotox	111,181,107	#6fb56b
AnfG_VnfG	157,80,58	#9d503a
AnfO_nitrog	145,65,43	#91412b
Angiomotin_C	142,63,157	#8e3f9d
Anillin	168,211,107	#a8d36b
Anillin_N	224,113,83	#e07153
Ank	152,39,111	#98276f
AnkUBD	140,71,115	#8c4773
AnkX_ins	201,133,114	#c98572
Ank_2	136,40,101	#882865
Ank_3	144,67,116	#904374
Ank_4	213,97,171	#d561ab
Ank_5	215,66,161	#d742a1
AnmK	97,135,172	#6187ac
Annexin	199,91,61	#c75b3d
Annexin_2	208,106,78	#d06a4e
Annexin_3	198,103,77	#c6674d
Annexin_like	177,186,74	#b1ba4a
Anoct_dimer	164,75,50	#a44b32
Anoctamin	86,157,81	#569d51
Anoctamin_N	215,107,77	#d76b4d
Anophelin	203,95,65	#cb5f41
Anp1	232,79,194	#e84fc2
Ant-IIb_sub-bd	143,80,100	#8f5064
AntA	156,80,60	#9c503c
Ant_C	148,75,55	#944b37
Anth_Ig	124,74,173	#7c4aad
Anth_synt_I_N	156,102,87	#9c6657
Anthrax-tox_M	109,119,31	#6d771f
Anthrax_toxA	155,102,87	#9b6657
Anthrone_oxy	190,132,108	#be846c
Anti-LPS-SCYG	151,79,59	#974f3b
Anti-Pycsar_Apyc1	42,113,169	#2a71a9
Anti-RecBCD_p2	164,108,92	#a46c5c
Anti-TRAP	204,132,113	#cc8471
Anti-adapt_IraP	151,69,46	#97452e
Antibiotic_NAT	162,79,70	#a24f46
Anticodon_1	166,107,90	#a66b5a
Anticodon_2	201,132,113	#c98471
Anticodon_3	222,96,60	#de603c
Antifungal_pept	47,120,181	#2f78b5
Antifungal_prot	209,106,77	#d16a4d
Antig_Caf1	88,203,111	#58cb6f
Antigen_Bd37	224,102,68	#e06644
Antigen_C	94,188,112	#5ebc70
Antiholin	199,95,66	#c75f42
Antimicrobial10	141,67,46	#8d432e
Antimicrobial11	216,136,114	#d88872
Antimicrobial12	212,132,110	#d4846e
Antimicrobial13	226,146,124	#e2927c
Antimicrobial14	204,126,105	#cc7e69
Antimicrobial15	143,64,43	#8f402b
Antimicrobial17	66,73,196	#4249c4
Antimicrobial18	216,137,115	#d88973
Antimicrobial19	208,125,101	#d07d65
Antimicrobial20	150,94,79	#965e4f
Antimicrobial21	147,74,53	#934a35
Antimicrobial22	142,88,73	#8e5849
Antimicrobial23	141,85,70	#8d5546
Antimicrobial24	155,75,52	#9b4b34
Antimicrobial25	53,121,179	#3579b3
Antimicrobial_1	205,136,117	#cd8875
Antimicrobial_2	166,109,93	#a66d5d
Antimicrobial_3	224,102,68	#e06644
Antimicrobial_4	215,143,123	#d78f7b
Antimicrobial_5	199,130,111	#c7826f
Antimicrobial_6	200,92,63	#c85c3f
Antimicrobial_7	207,104,76	#cf684c
Antimicrobial_8	204,128,107	#cc806b
Antimicrobial_9	163,97,79	#a3614f
Antirestrict	219,146,126	#db927e
Antistasin	137,107,45	#896b2d
Antiterm	200,98,69	#c86245
Antitox_RHH	67,104,161	#4368a1
Ap4A_phos_N	41,231,145	#29e791
ApbA	163,78,94	#a34e5e
ApbA_C	154,144,45	#9a902d
ApbE	205,131,110	#cd836e
Apc13p	156,77,55	#9c4d37
Apc15p	152,78,58	#984e3a
Apc1_MidN	128,213,87	#80d557
Apc5_N	215,133,110	#d7856e
Ape1_N	98,141,173	#628dad
ApeA_NTD1	215,110,81	#d76e51
ApeC	160,75,51	#a04b33
ApeC_platyh	141,70,51	#8d4633
ApeI-like	125,93,146	#7d5d92
ApeP-like	152,111,179	#986fb3
Apelin	148,93,78	#945d4e
Apex	223,138,115	#df8a73
Aph-1	189,119,194	#bd77c2
AphA_like	213,219,115	#d5db73
Apidaecin	223,100,67	#df6443
Apis_Csd	211,98,67	#d36243
Apo-CII	80,122,41	#507a29
Apo-CIII	131,194,72	#83c248
Apo-VLDL-II	226,150,129	#e29681
ApoA-II	90,134,48	#5a8630
ApoB100_C	136,89,76	#88594c
ApoC-I	133,177,92	#85b15c
ApoL	196,88,58	#c4583a
ApoLp-III	111,145,79	#6f914f
ApoM	128,80,141	#80508d
ApoO	154,73,51	#9a4933
Apocytochr_F_C	89,63,214	#593fd6
Apocytochr_F_N	148,91,75	#945b4b
Apolipo_F	204,136,117	#cc8875
Apolipoprotein	93,142,48	#5d8e30
AppA_4HB	166,107,91	#a66b5b
AppA_SCHIC	195,207,113	#c3cf71
Apq12	141,72,53	#8d4835
AprA_N	193,201,67	#c1c943
Apt1	102,228,135	#66e487
Apyrase	173,89,84	#ad5954
Aq_1974-like	165,76,51	#a54c33
Aquarius_N	162,60,200	#a23cc8
Aquarius_N_1st	159,228,125	#9fe47d
Aquarius_N_2nd	84,59,204	#543bcc
Aquarius_N_3rd	203,121,98	#cb7962
ArAE_1	138,69,78	#8a454e
ArAE_1_C	152,90,73	#985a49
ArAE_2	142,43,56	#8e2b38
ArAE_2_N	141,39,52	#8d2734
AraA_N	89,225,88	#59e158
AraA_central	85,239,84	#55ef54
AraC_N	60,97,169	#3c61a9
AraC_binding	55,83,136	#375388
AraC_binding_2	73,107,175	#496baf
AraR_C	141,147,51	#8d9333
ArabFuran-catal	155,202,80	#9bca50
Arabino_trans_C	107,146,175	#6b92af
Arabino_trans_N	178,218,118	#b2da76
Arabinose_Iso_C	182,242,96	#b6f260
Arabinose_Isome	78,181,170	#4eb5aa
Arabinose_bd	217,110,80	#d96e50
Arabinose_trans	29,72,144	#1d4890
Arb1	156,98,82	#9c6252
Arb2	94,201,173	#5ec9ad
Arb2-like	134,221,198	#86ddc6
Arc	84,143,233	#548fe9
Arc1p_N_like	164,108,89	#a46c59
Arc_C	226,136,111	#e2886f
Arc_MA	155,79,58	#9b4f3a
Arc_PepC	164,107,91	#a46b5b
Arc_PepC_II	158,101,85	#9e6555
Arc_capsid_dom	174,100,219	#ae64db
Arc_trans_TRASH	77,88,153	#4d5899
Arcadin_1	139,92,78	#8b5c4e
Arch_fla_DE	151,70,47	#97462f
Arch_flagellin	38,128,170	#2680aa
Archaeal_AmoA	140,72,53	#8c4835
Archease	69,114,133	#457285
ArdA	206,131,110	#ce836e
ArdcN	78,87,146	#4e5792
AreA_N	136,90,78	#885a4e
ArenaCapSnatch	110,212,112	#6ed470
Arena_RNA_pol	205,122,99	#cd7a63
Arena_glycoprot	225,114,84	#e17254
Arena_ncap_C	101,218,149	#65da95
Arena_nucleocap	156,72,49	#9c4831
Arf	99,188,213	#63bcd5
ArfA	214,133,111	#d6856f
ArfGap	144,90,75	#905a4b
Arfaptin	217,103,238	#d967ee
ArgJ	44,117,177	#2c75b1
ArgK	200,208,71	#c8d047
ArgL-like	223,148,128	#df9480
ArgZ-like_C_1st	219,133,109	#db856d
ArgZ-like_C_2nd	129,80,89	#815059
Arg_decarb_HB	214,96,63	#d6603f
Arg_decarbox_C	225,106,74	#e16a4a
Arg_repressor	148,155,50	#949b32
Arg_repressor_C	89,169,65	#59a941
Arg_tRNA_synt_N	214,130,106	#d6826a
Arginase	68,237,125	#44ed7d
Arginosuc_syn_C	220,143,122	#dc8f7a
Arginosuc_synth	132,91,168	#845ba8
ArgoL1	155,103,88	#9b6758
ArgoL2	158,71,46	#9e472e
ArgoMid	143,85,69	#8f5545
ArgoN	188,136,95	#bc885f
Argos	36,85,127	#24557f
Ariadne	201,100,72	#c96448
Arif-1	210,105,76	#d2694c
ArlS_N	208,216,102	#d0d866
Arm	125,215,81	#7dd751
Arm-DNA-bind_1	169,232,90	#a9e85a
Arm-DNA-bind_2	182,226,127	#b6e27f
Arm-DNA-bind_3	175,214,128	#afd680
Arm-DNA-bind_4	139,175,95	#8baf5f
Arm-DNA-bind_5	180,218,134	#b4da86
Arm_2	102,148,80	#669450
Arm_3	157,227,123	#9de37b
Arm_4	154,212,126	#9ad47e
Arm_APC_u3	209,101,72	#d16548
Arm_vescicular	87,146,58	#57923a
Armet	181,150,46	#b5962e
ArnB_C	206,124,102	#ce7c66
ArnR1-like_WHD	192,198,91	#c0c65b
Arnt_C	224,138,115	#e08a73
AroM	154,49,125	#9a317d
Aromatic_hydrox	49,157,158	#319d9e
Arr-ms	102,108,56	#666c38
Arrestin_C	171,114,231	#ab72e7
Arrestin_N	172,119,228	#ac77e4
ArsA_ATPase	27,131,160	#1b83a0
ArsA_HSP20	129,148,34	#819422
ArsB	65,41,161	#4129a1
ArsC	123,41,26	#7b291a
ArsD	143,56,40	#8f3828
ArsP_1	83,48,225	#5330e1
ArsP_2	63,40,156	#3f289c
ArsR	157,162,76	#9da24c
Arteri_GP4	138,65,45	#8a412d
Arteri_Gl	144,74,54	#904a36
Arteri_env	218,138,116	#da8a74
Arteri_nsp7a	164,76,52	#a44c34
Arteri_nucleo	213,135,114	#d58772
Arv1	136,84,70	#885446
Arylesterase	136,49,77	#88314d
Arylsulfotran_2	146,84,104	#925468
Arylsulfotran_N	82,47,116	#522f74
Arylsulfotrans	142,70,94	#8e465e
Ashwin	225,138,114	#e18a72
AsiA	140,69,49	#8c4531
AsmA	198,121,100	#c67964
AsmA_1	202,100,71	#ca6447
AsmA_2	196,98,70	#c46246
AsnA	221,230,96	#dde660
AsnC_trans_reg	114,78,214	#724ed6
AsnC_trans_reg2	97,79,147	#614f93
AsnC_trans_reg_3	79,55,145	#4f3791
AsnRS_N	202,132,112	#ca8470
Asn_synthase	97,201,176	#61c9b0
Asp	119,188,151	#77bc97
Asp-Al_Ex	52,138,105	#348a69
Asp-B-Hydro_N	204,128,107	#cc806b
Asp1	117,63,169	#753fa9
Asp2	127,201,181	#7fc9b5
Asp23	203,124,102	#cb7c66
Asp4	223,103,70	#df6746
Asp5	211,134,113	#d38671
Asp_Arg_Hydrox	106,134,189	#6a86bd
Asp_DH_C	208,65,162	#d041a2
Asp_Glu_race	164,75,140	#a44b8c
Asp_Glu_race_2	222,66,179	#de42b3
Asp_aminotransf	127,89,136	#7f5988
Asp_decarbox	59,120,90	#3b785a
Asp_protease	126,205,163	#7ecda3
Asp_protease_2	126,200,161	#7ec8a1
Asparaginase	210,125,101	#d27d65
Asparaginase_2	63,97,148	#3f6194
Asparaginase_C	221,131,107	#dd836b
Asparaginase_II	159,80,58	#9f503a
Aspzincin_M35	62,137,129	#3e8981
Asr	138,67,48	#8a4330
AstA	85,195,96	#55c360
AstB	111,222,166	#6fdea6
AstE_AspA	143,103,224	#8f67e0
AstE_AspA_cat	211,187,92	#d3bb5c
AstE_AspA_hybrid	66,47,158	#422f9e
Astacin	84,189,177	#54bdb1
Astro_1A	208,96,65	#d06041
Astro_VPg	144,92,78	#905c4e
Astro_capsid_N	178,210,33	#b2d221
Astro_capsid_p	129,154,92	#819a5c
Astro_capsid_p2	183,219,130	#b7db82
Astro_p19	146,69,47	#92452f
Astrovir_pp_1	225,135,110	#e1876e
At2g29880_C	136,65,45	#88412d
At2g31720-like	68,120,54	#447836
At4g08330	86,135,76	#56874c
At5g48480-like_C	150,63,81	#963f51
At5g48480-like_N	178,104,119	#b26877
At5g52880_ARM	118,205,76	#76cd4c
AtPDCT1_2	108,121,55	#6c7937
AtaL	32,118,119	#207677
Atg11_middle	159,80,58	#9f503a
Atg14	122,226,106	#7ae26a
Atg29_N	182,150,60	#b6963c
Atg2_N	188,163,100	#bca364
Atg31	158,197,95	#9ec55f
Atg8	81,217,111	#51d96f
AtpR	77,202,129	#4dca81
Atracotoxin	37,89,132	#255984
Atrophin-1	198,120,98	#c67862
Attachment_P66	150,95,80	#965f50
Attacin_C	60,118,136	#3c7688
Attacin_N	31,142,176	#1f8eb0
Atthog	117,78,48	#754e30
Attractin	196,92,63	#c45c3f
Atu4866	152,79,59	#984f3b
AtuA	221,141,119	#dd8d77
AtuA_ferredoxin	210,102,73	#d26649
Atx10homo_assoc	98,159,69	#629f45
Atypical_Card	31,58,111	#1f3a6f
AtzG-like	147,67,44	#93432c
AtzH-like	91,180,175	#5bb4af
Augurin	152,94,78	#985e4e
AurF	100,210,108	#64d26c
Aurora-A_bind	221,141,119	#dd8d77
Auto_anti-p27	172,155,89	#ac9b59
Autoind_bind	60,60,117	#3c3c75
Autoind_synth	197,72,80	#c54850
Autophagy_C	80,184,111	#50b86f
Autophagy_N	89,51,185	#5933b9
Autophagy_act_C	125,119,66	#7d7742
Autotransporter	90,162,184	#5aa2b8
Auts2	212,128,105	#d48069
Auxin_BP	70,107,179	#466bb3
Auxin_canalis	211,95,63	#d35f3f
